0_date,miami,formaldate
2020-07-10,0.6707285927727705,2020-07-10
2020-07-11,0.661184662298135,2020-07-11
2020-07-12,0.6156225363580079,2020-07-12
2020-07-13,0.6596510108836914,2020-07-13
2020-07-14,0.661642916327172,2020-07-14
2020-07-15,0.6704846471404605,2020-07-15
2020-07-16,0.6699195021049356,2020-07-16
2020-07-17,0.6749788116027564,2020-07-17
2020-07-18,0.6309655659411817,2020-07-18
2020-07-19,0.6260147000417038,2020-07-19
2020-07-20,0.6561157876851965,2020-07-20
2020-07-21,0.6663737464608804,2020-07-21
2020-07-22,0.6571189639589897,2020-07-22
2020-07-23,0.6521195626636717,2020-07-23
2020-07-24,0.6954223817496501,2020-07-24
2020-07-25,0.6661425236203813,2020-07-25
2020-07-26,0.6265398727054143,2020-07-26
2020-07-27,0.6721985480156716,2020-07-27
2020-07-28,0.6821401878910816,2020-07-28
2020-07-29,0.7056151347857015,2020-07-29
2020-07-30,0.6945233052052545,2020-07-30
2020-07-31,0.7140482846019257,2020-07-31
2020-08-01,0.6151603711997575,2020-08-01
2020-08-02,0.5832062070412737,2020-08-02
2020-08-03,0.6543736832225243,2020-08-03
2020-08-04,0.6706138720436113,2020-08-04
2020-08-05,0.6748958346702301,2020-08-05
2020-08-06,0.6914581244388609,2020-08-06
2020-08-07,0.7034241017750115,2020-08-07
2020-08-08,0.6861343169786503,2020-08-08
2020-08-09,0.6469970640810799,2020-08-09
2020-08-10,0.6763823602232178,2020-08-10
2020-08-11,0.6900099355749858,2020-08-11
2020-08-12,0.688190697687601,2020-08-12
2020-08-13,0.69871693164219,2020-08-13
2020-08-14,0.7252712079669404,2020-08-14
2020-08-15,0.6971402788643837,2020-08-15
2020-08-16,0.6678504529466389,2020-08-16
2020-08-17,0.6953188900196965,2020-08-17
2020-08-18,0.696724769720845,2020-08-18
2020-08-19,0.6814703958434124,2020-08-19
2020-08-20,0.6973912562409338,2020-08-20
2020-08-21,0.6995525914274514,2020-08-21
2020-08-22,0.7058777373138828,2020-08-22
2020-08-23,0.6509960256371701,2020-08-23
2020-08-24,0.6704137713620992,2020-08-24
2020-08-25,0.6798162988553852,2020-08-25
2020-08-26,0.6962521406049065,2020-08-26
2020-08-27,0.6986315488815573,2020-08-27
2020-08-28,0.7168176424124073,2020-08-28
2020-08-29,0.7176840770186975,2020-08-29
