0_date,losangeles,formaldate
2020-07-10,0.6727585780556348,2020-07-10
2020-07-11,0.6562822121423051,2020-07-11
2020-07-12,0.611077250783964,2020-07-12
2020-07-13,0.644463937153088,2020-07-13
2020-07-14,0.6481376764542214,2020-07-14
2020-07-15,0.6466253375496601,2020-07-15
2020-07-16,0.6231485892355676,2020-07-16
2020-07-17,0.6586116186139886,2020-07-17
2020-07-18,0.650303373960383,2020-07-18
2020-07-19,0.6082491554422832,2020-07-19
2020-07-20,0.6432826596405613,2020-07-20
2020-07-21,0.6328343461373619,2020-07-21
2020-07-22,0.6424876135900901,2020-07-22
2020-07-23,0.6620760909074093,2020-07-23
2020-07-24,0.6619774182433059,2020-07-24
2020-07-25,0.6454657138386268,2020-07-25
2020-07-26,0.6248596188077735,2020-07-26
2020-07-27,0.6365994031684818,2020-07-27
2020-07-28,0.6587875260099013,2020-07-28
2020-07-29,0.6803870513015939,2020-07-29
2020-07-30,0.6719613653636337,2020-07-30
2020-07-31,0.6941924022214224,2020-07-31
2020-08-01,0.6747349184191885,2020-08-01
2020-08-02,0.6170381460016496,2020-08-02
2020-08-03,0.6376754338743068,2020-08-03
2020-08-04,0.6566078034218473,2020-08-04
2020-08-05,0.6672499970655167,2020-08-05
2020-08-06,0.6689441394931523,2020-08-06
2020-08-07,0.6828587965601317,2020-08-07
2020-08-08,0.6658727596882379,2020-08-08
2020-08-09,0.6354199365611711,2020-08-09
2020-08-10,0.6429989212855034,2020-08-10
2020-08-11,0.6543655589665348,2020-08-11
2020-08-12,0.6675375019420358,2020-08-12
2020-08-13,0.6593548784404742,2020-08-13
2020-08-14,0.6650277289899963,2020-08-14
2020-08-15,0.6510098546665871,2020-08-15
2020-08-16,0.6327937514601689,2020-08-16
2020-08-17,0.6536432562969999,2020-08-17
2020-08-18,0.6582258791797996,2020-08-18
2020-08-19,0.6569175335227349,2020-08-19
2020-08-20,0.6740381948986239,2020-08-20
2020-08-21,0.6865685538862759,2020-08-21
2020-08-22,0.6685291168633701,2020-08-22
2020-08-23,0.6353118751055365,2020-08-23
2020-08-24,0.6391976660579889,2020-08-24
2020-08-25,0.6713237641590256,2020-08-25
2020-08-26,0.651598421558549,2020-08-26
2020-08-27,0.6597527149683273,2020-08-27
2020-08-28,0.6712236449044955,2020-08-28
