0_date,chicago,formaldate
2020-05-01,0.5641177809493841,2020-05-01
2020-05-02,0.6014853605226708,2020-05-02
2020-05-03,0.5518859011635177,2020-05-03
2020-05-04,0.5440073281092457,2020-05-04
2020-05-05,0.5378393132062111,2020-05-05
2020-05-06,0.5729100722685799,2020-05-06
2020-05-07,0.563776802369198,2020-05-07
2020-05-08,0.5768002906662212,2020-05-08
2020-05-09,0.6021763492634599,2020-05-09
2020-05-10,0.5356861372811322,2020-05-10
2020-05-11,0.5629341141497682,2020-05-11
2020-05-12,0.5796578537031999,2020-05-12
2020-05-13,0.5783718224501446,2020-05-13
2020-05-14,0.5616763225082438,2020-05-14
2020-05-15,0.6032069162879394,2020-05-15
2020-05-16,0.6180156311434316,2020-05-16
2020-05-17,0.49220861256250703,2020-05-17
2020-05-18,0.5671487478000523,2020-05-18
2020-05-19,0.5560196375674891,2020-05-19
2020-05-20,0.6011883815738652,2020-05-20
2020-05-21,0.6166650735636953,2020-05-21
2020-05-22,0.638779564884802,2020-05-22
2020-05-23,0.6062893832859263,2020-05-23
2020-05-24,0.6166687136631365,2020-05-24
2020-05-25,0.5917094229981755,2020-05-25
2020-05-26,0.6112278850603542,2020-05-26
2020-05-27,0.6220422245539441,2020-05-27
2020-05-28,0.6099942807455906,2020-05-28
2020-05-29,0.6699455457928656,2020-05-29
2020-05-30,0.6636477603351647,2020-05-30
2020-05-31,0.604279691228857,2020-05-31
2020-06-01,0.5933815859708936,2020-06-01
2020-06-02,0.6173505936559245,2020-06-02
2020-06-03,0.6371499048665962,2020-06-03
2020-06-04,0.6492936569133527,2020-06-04
2020-06-05,0.6587714385593493,2020-06-05
2020-06-06,0.6751636985795376,2020-06-06
2020-06-07,0.6354464601958254,2020-06-07
2020-06-08,0.6651116921564545,2020-06-08
2020-06-09,0.6242536065476229,2020-06-09
2020-06-10,0.6305698461618797,2020-06-10
2020-06-11,0.6589960470673578,2020-06-11
2020-06-12,0.6556466169850922,2020-06-12
2020-06-13,0.6902411116192451,2020-06-13
2020-06-14,0.6432770317529909,2020-06-14
2020-06-15,0.6417987757912846,2020-06-15
2020-06-16,0.6358324878781093,2020-06-16
2020-06-17,0.6649264938388093,2020-06-17
2020-06-18,0.6665993080662044,2020-06-18
2020-06-19,0.6733095095675069,2020-06-19
2020-06-20,0.6684431459218978,2020-06-20
2020-06-21,0.6465084665993637,2020-06-21
2020-06-22,0.6417896633502506,2020-06-22
2020-06-23,0.6678942653358778,2020-06-23
2020-06-24,0.6718480246253099,2020-06-24
2020-06-25,0.6928330527321263,2020-06-25
2020-06-26,0.6595247989391521,2020-06-26
2020-06-27,0.6847795650501904,2020-06-27
2020-06-28,0.6778643508755728,2020-06-28
2020-06-29,0.6618480272615727,2020-06-29
2020-06-30,0.6762865200890196,2020-06-30
2020-07-01,0.6784418299601479,2020-07-01
2020-07-02,0.7036767305640349,2020-07-02
2020-07-03,0.702240441073999,2020-07-03
2020-07-04,0.6960140110668313,2020-07-04
2020-07-05,0.6459342677352711,2020-07-05
2020-07-06,0.6709345755512006,2020-07-06
2020-07-07,0.6511312507427878,2020-07-07
2020-07-08,0.6701916686104212,2020-07-08
2020-07-09,0.6758336897564395,2020-07-09
2020-07-10,0.6906416674526137,2020-07-10
2020-07-11,0.7025355942924467,2020-07-11
2020-07-12,0.6598038907247651,2020-07-12
2020-07-13,0.6777723214951406,2020-07-13
2020-07-14,0.6795459074744657,2020-07-14
2020-07-15,0.6558624496742402,2020-07-15
2020-07-16,0.6828280929775125,2020-07-16
2020-07-17,0.7064452862494754,2020-07-17
2020-07-18,0.6819066224611988,2020-07-18
2020-07-19,0.6307838025495851,2020-07-19
2020-07-20,0.669446426507611,2020-07-20
2020-07-21,0.6791783765050153,2020-07-21
2020-07-22,0.6911025344675601,2020-07-22
2020-07-23,0.6866788527440186,2020-07-23
2020-07-24,0.7122276844427604,2020-07-24
2020-07-25,0.7063839160040224,2020-07-25
2020-07-26,0.6468981945129145,2020-07-26
2020-07-27,0.6722047856022311,2020-07-27
