0_date,boston,formaldate
2020-06-26,0.6748721958744087,2020-06-26
2020-06-27,0.6585042162328193,2020-06-27
2020-06-28,0.6332842820106601,2020-06-28
2020-06-29,0.623703357894816,2020-06-29
2020-06-30,0.6605460977348919,2020-06-30
2020-07-01,0.6548136912604005,2020-07-01
2020-07-02,0.6859561688173322,2020-07-02
2020-07-03,0.6967718121822428,2020-07-03
2020-07-04,0.6827614575071722,2020-07-04
2020-07-05,0.6555094288702896,2020-07-05
2020-07-06,0.653968785271426,2020-07-06
2020-07-07,0.660384350272775,2020-07-07
2020-07-08,0.6630795874440559,2020-07-08
2020-07-09,0.6656051377638327,2020-07-09
2020-07-10,0.6764457347177273,2020-07-10
2020-07-11,0.679751493721458,2020-07-11
2020-07-12,0.6629039825156117,2020-07-12
2020-07-13,0.6501061413189028,2020-07-13
2020-07-14,0.6567780692102008,2020-07-14
2020-07-15,0.6720930004310421,2020-07-15
2020-07-16,0.6825639455106925,2020-07-16
2020-07-17,0.6570049424646945,2020-07-17
2020-07-18,0.6877789163192801,2020-07-18
2020-07-19,0.6600958217760226,2020-07-19
2020-07-20,0.6508819093838475,2020-07-20
2020-07-21,0.6771862745544843,2020-07-21
2020-07-22,0.6745474789254781,2020-07-22
2020-07-23,0.6539837837398387,2020-07-23
2020-07-24,0.7062944050350526,2020-07-24
2020-07-25,0.7068161551952666,2020-07-25
2020-07-26,0.6627725369116024,2020-07-26
2020-07-27,0.6512689381580625,2020-07-27
2020-07-28,0.6687114935123815,2020-07-28
2020-07-29,0.6965957496360007,2020-07-29
2020-07-30,0.6975080589713195,2020-07-30
2020-07-31,0.7100635149040642,2020-07-31
2020-08-01,0.7209773918920354,2020-08-01
2020-08-02,0.6635950069482089,2020-08-02
2020-08-03,0.6778050451156814,2020-08-03
2020-08-04,0.6676536610136625,2020-08-04
2020-08-05,0.6870275564683563,2020-08-05
2020-08-06,0.6883925782662011,2020-08-06
2020-08-07,0.7096992124861659,2020-08-07
2020-08-08,0.7044365323645595,2020-08-08
2020-08-09,0.6636307607728468,2020-08-09
2020-08-10,0.6736647435855023,2020-08-10
2020-08-11,0.6771323889665952,2020-08-11
2020-08-12,0.6868544928821659,2020-08-12
2020-08-13,0.6947390479217886,2020-08-13
2020-08-14,0.7182045882516869,2020-08-14
2020-08-15,0.7092799431912167,2020-08-15
2020-08-16,0.6684661090603882,2020-08-16
2020-08-17,0.6823750961535449,2020-08-17
2020-08-18,0.681044442390244,2020-08-18
2020-08-19,0.706149105593078,2020-08-19
2020-08-20,0.6963261194771893,2020-08-20
2020-08-21,0.7168428539112974,2020-08-21
2020-08-22,0.7115320718465777,2020-08-22
2020-08-23,0.6747214881765236,2020-08-23
2020-08-24,0.6790535836788953,2020-08-24
2020-08-25,0.6770014470846466,2020-08-25
2020-08-26,0.6831056098910053,2020-08-26
2020-08-27,0.6851165753506835,2020-08-27
2020-08-28,0.7123466098071223,2020-08-28
2020-08-29,0.6811271512849297,2020-08-29
