0_date,seattle,formaldate
2020-02-04,0.7470510416867249,2020-02-04
2020-02-05,0.7509395846086213,2020-02-05
2020-02-06,0.7612240558091341,2020-02-06
2020-02-07,0.7535517530079635,2020-02-07
2020-02-08,0.714303538143616,2020-02-08
2020-02-09,0.6890345892881488,2020-02-09
2020-02-10,0.7523344756224675,2020-02-10
2020-02-11,0.7577437753175815,2020-02-11
2020-02-12,0.7749046986033166,2020-02-12
2020-02-13,0.7502398514797382,2020-02-13
2020-02-14,0.7877847598109129,2020-02-14
2020-02-15,0.7216438877408613,2020-02-15
2020-02-16,0.7142979110101617,2020-02-16
2020-02-17,0.7291162842673446,2020-02-17
2020-02-18,0.7705513925622487,2020-02-18
2020-02-19,0.7639879769180634,2020-02-19
2020-02-20,0.7824354993578193,2020-02-20
2020-02-21,0.7713328330613916,2020-02-21
2020-02-22,0.7393912209018987,2020-02-22
2020-02-23,0.6876984906394523,2020-02-23
2020-02-24,0.7748526681675184,2020-02-24
2020-02-25,0.6744807038763547,2020-02-25
2020-02-26,0.7974935854554301,2020-02-26
2020-02-27,0.7942749739353214,2020-02-27
2020-02-28,0.7898339991319837,2020-02-28
2020-02-29,0.7389806134225693,2020-02-29
2020-03-01,0.6655131463399445,2020-03-01
2020-03-02,0.7302112706835455,2020-03-02
2020-03-03,0.7665971398319111,2020-03-03
2020-03-04,0.7636727491875817,2020-03-04
2020-03-05,0.7531928304618181,2020-03-05
2020-03-06,0.749933236765424,2020-03-06
2020-03-07,0.7203886851369999,2020-03-07
2020-03-08,0.6739895494881879,2020-03-08
2020-03-09,0.7450732026956401,2020-03-09
2020-03-10,0.7434418811940863,2020-03-10
2020-03-11,0.7442285302271228,2020-03-11
2020-03-12,0.7133622562954138,2020-03-12
2020-03-13,0.7100417869920979,2020-03-13
2020-03-14,0.6672575315662189,2020-03-14
2020-03-15,0.6356134044665388,2020-03-15
2020-03-16,0.6665160871210576,2020-03-16
2020-03-17,0.6278443025387731,2020-03-17
2020-03-18,0.6394794079206153,2020-03-18
2020-03-19,0.6394336898625623,2020-03-19
2020-03-20,0.6176328405777461,2020-03-20
2020-03-21,0.5451030268523621,2020-03-21
2020-03-22,0.5598592569427333,2020-03-22
2020-03-23,0.5953821334371151,2020-03-23
2020-03-24,0.575862942966063,2020-03-24
2020-03-25,0.5882837949669079,2020-03-25
2020-03-26,0.5422402145431241,2020-03-26
2020-03-27,0.5438858399331242,2020-03-27
2020-03-28,0.5287641610606412,2020-03-28
2020-03-29,0.5137195643517901,2020-03-29
2020-03-30,0.5375558906563149,2020-03-30
2020-03-31,0.5470871155157023,2020-03-31
2020-04-01,0.5243324691460323,2020-04-01
2020-04-02,0.5253780278730968,2020-04-02
2020-04-03,0.5400799218385668,2020-04-03
2020-04-04,0.5201217704997452,2020-04-04
